,Mkt-RF,SMB,HML,RF
198610,    4.66,   -2.49,   -1.34,    0.46
198611,    1.17,   -1.92,   -0.05,    0.39
198612,   -3.27,    0.08,    0.33,    0.49
198701,   12.47,   -1.80,   -3.17,    0.42
198702,    4.39,    3.49,   -5.98,    0.43
198703,    1.64,    0.37,    1.64,    0.47
198704,   -2.11,   -1.70,   -0.32,    0.44
198705,    0.11,   -0.52,    0.12,    0.38
198706,    3.94,   -2.19,    1.06,    0.48
198707,    3.85,   -0.63,    0.71,    0.46
198708,    3.52,   -0.75,   -0.93,    0.47
198709,   -2.59,    0.53,    0.28,    0.45
198710,  -23.24,   -8.42,    4.23,    0.60
198711,   -7.77,    2.76,    3.08,    0.35
198712,    6.81,    0.13,   -4.45,    0.39
198801,    4.21,   -0.70,    5.17,    0.29
198802,    4.75,    3.35,   -1.65,    0.46
198803,   -2.27,    6.15,    0.75,    0.44
198804,    0.56,    0.96,    1.68,    0.46
198805,   -0.29,   -2.65,    2.28,    0.51
198806,    4.79,    2.12,   -1.11,    0.49
198807,   -1.25,   -0.21,    2.27,    0.51
198808,   -3.31,    0.08,    2.08,    0.59
198809,    3.30,   -1.26,   -0.69,    0.62
198810,    1.15,   -2.90,    1.68,    0.61
198811,   -2.29,   -1.73,    1.27,    0.57
198812,    1.49,    1.94,   -1.55,    0.63
198901,    6.10,   -2.13,    0.53,    0.55
198902,   -2.25,    2.76,    0.88,    0.61
198903,    1.57,    0.73,    0.48,    0.67
198904,    4.33,   -0.59,   -1.47,    0.67
198905,    3.35,   -0.03,   -0.83,    0.79
198906,   -1.35,   -1.01,    2.16,    0.71
198907,    7.20,   -4.02,   -2.83,    0.70
198908,    1.44,    0.50,    0.73,    0.74
198909,   -0.76,    0.28,   -1.33,    0.65
198910,   -3.67,   -3.30,   -1.02,    0.68
198911,    1.03,   -1.24,   -1.11,    0.69
198912,    1.16,   -2.41,    0.30,    0.61
199001,   -7.85,   -1.28,    0.86,    0.57
199002,    1.11,    1.03,    0.61,    0.57
199003,    1.83,    1.52,   -2.89,    0.64
199004,   -3.36,   -0.50,   -2.55,    0.69
199005,    8.42,   -2.56,   -3.73,    0.68
199006,   -1.09,    1.43,   -1.95,    0.63
199007,   -1.90,   -3.20,   -0.02,    0.68
199008,  -10.15,   -3.58,    1.63,    0.66
199009,   -6.12,   -3.67,    0.74,    0.60
199010,   -1.92,   -5.53,    0.29,    0.68
199011,    6.35,    0.32,   -3.11,    0.57
199012,    2.46,    0.81,   -1.56,    0.60
199101,    4.69,    3.80,   -1.84,    0.52
199102,    7.19,    3.94,   -0.54,    0.48
199103,    2.65,    3.90,   -1.24,    0.44
199104,   -0.28,    0.51,    1.40,    0.53
199105,    3.64,   -0.34,   -0.56,    0.47
199106,   -4.94,    0.07,    1.21,    0.42
199107,    4.24,   -0.95,   -1.27,    0.49
199108,    2.32,    1.59,   -0.79,    0.46
199109,   -1.59,    1.63,   -0.98,    0.46
199110,    1.29,    0.90,   -0.44,    0.42
199111,   -4.19,   -0.47,   -1.91,    0.39
199112,   10.83,   -2.24,   -4.04,    0.38
199201,   -0.59,    8.45,    4.50,    0.34
199202,    1.09,    0.88,    6.36,    0.28
199203,   -2.65,   -1.03,    3.66,    0.34
199204,    1.08,   -6.12,    4.28,    0.32
199205,    0.30,    0.40,    1.27,    0.28
199206,   -2.34,   -3.09,    3.41,    0.32
199207,    3.77,   -0.44,   -0.53,    0.31
199208,   -2.38,   -0.11,   -1.04,    0.26
199209,    1.19,    0.56,   -0.21,    0.26
199210,    1.02,    2.04,   -2.10,    0.23
199211,    4.13,    3.69,   -1.48,    0.23
199212,    1.53,    1.65,    2.51,    0.28
199301,    0.93,    2.05,    5.89,    0.23
199302,    0.13,   -3.44,    6.42,    0.22
199303,    2.30,    0.24,    1.24,    0.25
199304,   -3.05,   -0.70,    2.61,    0.24
199305,    2.88,    1.96,   -3.41,    0.22
199306,    0.31,   -0.30,    2.61,    0.25
199307,   -0.34,    0.93,    3.25,    0.24
199308,    3.72,    0.32,   -0.45,    0.25
199309,   -0.12,    3.12,   -0.44,    0.26
199310,    1.41,    1.45,   -1.55,    0.22
199311,   -1.89,   -1.43,   -0.27,    0.25
199312,    1.65,    1.22,    0.57,    0.23
199401,    2.87,    0.13,    2.08,    0.25
199402,   -2.56,    2.73,   -1.44,    0.21
199403,   -4.78,   -0.97,    1.32,    0.27
199404,    0.68,   -0.92,    1.68,    0.27
199405,    0.58,   -2.02,    0.19,    0.31
199406,   -3.03,   -0.47,    1.68,    0.31
199407,    2.82,   -1.72,    0.60,    0.28
199408,    4.01,    1.33,   -2.82,    0.37
199409,   -2.31,    2.82,   -1.91,    0.37
199410,    1.34,   -2.36,   -1.74,    0.38
199411,   -4.04,    0.27,   -0.95,    0.37
199412,    0.86,    0.03,    0.53,    0.44
199501,    1.80,   -2.65,    0.81,    0.42
199502,    3.63,   -0.69,    1.04,    0.40
199503,    2.18,   -0.70,   -1.06,    0.46
199504,    2.11,   -0.63,    2.25,    0.44
199505,    2.90,   -2.20,    1.68,    0.54
199506,    2.72,    2.93,   -2.27,    0.47
199507,    3.72,    2.09,   -1.69,    0.45
199508,    0.55,    1.60,    2.72,    0.47
199509,    3.35,   -2.11,   -0.76,    0.43
199510,   -1.52,   -3.74,   -0.75,    0.47
199511,    3.96,   -1.17,    0.95,    0.42
199512,    1.03,    0.57,    0.86,    0.49
199601,    2.26,   -2.61,    0.32,    0.43
199602,    1.33,    1.87,   -1.44,    0.39
199603,    0.73,    1.30,    0.99,    0.39
199604,    2.06,    4.92,   -3.90,    0.46
199605,    2.36,    3.04,   -1.21,    0.42
199606,   -1.14,   -3.58,    1.55,    0.40
199607,   -5.97,   -3.84,    4.42,    0.45
199608,    2.76,    2.29,   -0.43,    0.41
199609,    5.02,   -0.87,   -3.13,    0.44
199610,    0.86,   -4.47,    5.10,    0.42
199611,    6.25,   -3.91,    1.21,    0.41
199612,   -1.70,    3.21,    0.86,    0.46
199701,    4.99,   -1.84,   -1.65,    0.45
199702,   -0.49,   -2.90,    5.18,    0.39
199703,   -5.03,   -0.38,    3.78,    0.43
199704,    4.04,   -5.64,   -0.07,    0.43
199705,    6.74,    4.92,   -3.91,    0.49
199706,    4.10,    1.35,    1.21,    0.37
199707,    7.33,   -2.79,    0.85,    0.43
199708,   -4.15,    7.29,    1.37,    0.41
199709,    5.35,    2.61,    0.01,    0.44
199710,   -3.80,   -0.66,    1.94,    0.42
199711,    2.98,   -4.96,    0.77,    0.39
199712,    1.32,   -2.32,    3.45,    0.48
199801,    0.15,   -1.16,   -1.43,    0.43
199802,    7.03,    0.01,   -0.15,    0.39
199803,    4.76,   -0.93,    1.03,    0.39
199804,    0.73,    0.22,    0.78,    0.43
199805,   -3.07,   -3.75,    4.15,    0.40
199806,    3.18,   -3.14,   -2.34,    0.41
199807,   -2.46,   -5.13,   -0.98,    0.40
199808,  -16.08,   -5.30,    3.39,    0.43
199809,    6.15,   -0.14,   -3.26,    0.46
199810,    7.13,   -3.30,   -2.20,    0.32
199811,    6.10,    1.06,   -3.13,    0.31
199812,    6.16,   -0.34,   -4.45,    0.38
199901,    3.50,    0.37,   -4.03,    0.35
199902,   -4.08,   -5.64,    1.37,    0.35
199903,    3.45,   -3.93,   -2.65,    0.43
199904,    4.33,    3.96,    2.54,    0.37
199905,   -2.46,    3.46,    2.33,    0.34
199906,    4.77,    3.04,   -3.58,    0.40
199907,   -3.47,    2.66,   -0.80,    0.38
199908,   -1.38,   -1.35,   -1.27,    0.39
199909,   -2.81,    3.33,   -3.37,    0.39
199910,    6.13,   -6.87,   -2.97,    0.39
199911,    3.37,    7.40,   -6.51,    0.36
199912,    7.72,    7.15,   -8.69,    0.44
200001,   -4.74,    5.01,   -0.45,    0.41
200002,    2.45,   22.08,  -10.49,    0.43
200003,    5.20,  -17.17,    7.86,    0.47
200004,   -6.40,   -7.77,    8.57,    0.46
200005,   -4.42,   -4.94,    2.39,    0.50
200006,    4.64,   13.95,  -10.03,    0.40
200007,   -2.51,   -2.78,    8.15,    0.48
200008,    7.03,   -1.11,   -0.69,    0.50
200009,   -5.45,   -1.40,    6.23,    0.51
200010,   -2.76,   -3.77,    5.55,    0.56
200011,  -10.72,   -2.77,   11.29,    0.51
200012,    1.19,    0.96,    7.30,    0.50
200101,    3.13,    6.56,   -4.88,    0.54
200102,  -10.05,   -0.72,   12.91,    0.38
200103,   -7.26,    0.39,    6.49,    0.42
200104,    7.94,    0.50,   -4.69,    0.39
200105,    0.72,    2.60,    3.13,    0.32
200106,   -1.94,    6.03,   -1.09,    0.28
200107,   -2.13,   -4.35,    5.61,    0.30
200108,   -6.46,    2.50,    2.56,    0.31
200109,   -9.25,   -6.11,    1.56,    0.28
200110,    2.46,    7.56,   -8.02,    0.22
200111,    7.54,   -0.40,    2.00,    0.17
200112,    1.61,    4.56,    1.08,    0.15
200201,   -1.44,    1.19,    3.35,    0.14
200202,   -2.29,   -1.14,    2.51,    0.13
200203,    4.24,    4.26,    1.11,    0.13
200204,   -5.20,    5.94,    3.92,    0.15
200205,   -1.38,   -3.22,    1.70,    0.14
200206,   -7.21,    4.26,    0.12,    0.13
200207,   -8.18,   -5.37,   -3.52,    0.15
200208,    0.50,   -2.43,    2.53,    0.14
200209,  -10.35,    2.55,    1.26,    0.14
200210,    7.84,   -2.86,   -5.40,    0.14
200211,    5.96,    2.95,   -0.95,    0.12
200212,   -5.76,    0.00,    2.21,    0.11
200301,   -2.57,    1.44,   -0.83,    0.10
200302,   -1.88,   -0.35,   -1.47,    0.09
200303,    1.09,    1.00,   -1.93,    0.10
200304,    8.22,    0.61,    1.11,    0.10
200305,    6.05,    4.84,   -0.10,    0.09
200306,    1.42,    1.60,    0.57,    0.10
200307,    2.35,    5.34,   -1.02,    0.07
200308,    2.34,    2.65,    2.10,    0.07
200309,   -1.24,    0.81,    0.01,    0.08
200310,    6.08,    2.81,    1.93,    0.07
200311,    1.35,    2.16,    1.96,    0.07
200312,    4.29,   -3.05,    2.35,    0.08
200401,    2.15,    2.74,    1.96,    0.07
200402,    1.40,   -1.43,    0.48,    0.06
200403,   -1.32,    1.77,    0.25,    0.09
200404,   -1.83,   -2.12,   -2.62,    0.08
200405,    1.17,   -0.19,   -0.35,    0.06
200406,    1.86,    2.23,    1.35,    0.08
200407,   -4.06,   -3.80,    4.09,    0.10
200408,    0.08,   -1.59,    0.96,    0.11
200409,    1.60,    3.05,   -0.24,    0.11
200410,    1.43,    0.33,   -0.56,    0.11
200411,    4.54,    3.90,    1.81,    0.15
200412,    3.43,    0.16,   -0.04,    0.16
200501,   -2.76,   -1.53,    1.95,    0.16
200502,    1.89,   -0.49,    1.65,    0.16
200503,   -1.97,   -1.42,    1.54,    0.21
200504,   -2.61,   -4.00,   -0.35,    0.21
200505,    3.65,    2.87,   -0.81,    0.24
200506,    0.57,    2.59,    2.69,    0.23
200507,    3.92,    2.89,   -0.54,    0.24
200508,   -1.22,   -0.93,    1.27,    0.30
200509,    0.49,   -0.58,    0.76,    0.29
200510,   -2.02,   -1.21,    0.25,    0.27
200511,    3.61,    0.89,   -1.19,    0.31
200512,   -0.25,   -0.49,    0.40,    0.32
200601,    3.04,    5.43,    1.12,    0.35
200602,   -0.30,   -0.38,   -0.25,    0.34
200603,    1.46,    3.51,    0.51,    0.37
200604,    0.73,   -1.34,    2.61,    0.36
200605,   -3.57,   -3.03,    2.57,    0.43
200606,   -0.35,   -0.38,    0.86,    0.40
200607,   -0.78,   -4.07,    2.92,    0.40
200608,    2.03,    0.92,   -1.72,    0.42
200609,    1.84,   -1.36,    0.03,    0.41
200610,    3.23,    1.75,   -0.05,    0.41
200611,    1.71,    0.86,    0.04,    0.42
200612,    0.87,   -1.10,    3.16,    0.40
200701,    1.40,    0.10,   -0.13,    0.44
200702,   -1.96,    1.32,   -0.10,    0.38
200703,    0.68,   -0.06,   -0.23,    0.43
200704,    3.49,   -2.07,   -1.15,    0.44
200705,    3.24,   -0.01,   -0.07,    0.41
200706,   -1.96,    0.79,   -1.11,    0.40
200707,   -3.73,   -2.50,   -3.34,    0.40
200708,    0.92,   -0.10,   -2.25,    0.42
200709,    3.22,   -2.28,   -1.91,    0.32
200710,    1.80,    0.22,   -2.62,    0.32
200711,   -4.83,   -2.61,   -1.18,    0.34
200712,   -0.87,    0.19,   -0.44,    0.27
200801,   -6.36,   -0.87,    3.69,    0.21
200802,   -3.09,   -0.21,   -0.88,    0.13
200803,   -0.93,    0.91,   -0.18,    0.17
200804,    4.60,   -1.65,   -0.99,    0.18
200805,    1.86,    3.15,   -1.49,    0.18
